3530 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q9HC10,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8
3530 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8
3530 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q13621,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8
3530 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q9HC10,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8
3530 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q9HC10,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8
3530 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8
3530 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4 Q13621,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8

10632 A0A286ZV23,D3K5N7,A0A287A6N8,I3LNX4,A0A287A2J9,A0A287BHC9,F1RHK6,A0A286ZQA1 Q9HCE1,Q15717,O60716,Q9UBU9,O14980,P0CG48,P04629,Q13618
10632 A0A286ZV23,D3K5N7,F1SGC8,I3LNX4,A0A287A2J9,A0A287BHC9,F1RHK6,A0A286ZQA1 Q9HCE1,Q15717,O60716,Q9UBU9,O14980,P0CG48,P04629,Q13618
10632 A0A286ZV23,D3K5N7,F1ST49,I3LNX4,A0A287A2J9,A0A286ZQA1,F1RHK6,A0A287BHC9 Q13618,P00533,Q9Y2W1,P04637,O14980,P0CG48,P04629,P62993
10632 A0A286ZV23,D3K5N7,F1ST49,I3LNX4,A0A287A2J9,A0A286ZQA1,F1RHK6,A0A287BHC9 Q13618,P00533,O15111,P04637,O14980,P62993,P04629,P0CG48
10632 A0A286ZV23,D3K5N7,F1S0W9,I3LNX4,A0A287A2J9,A0A286ZQA1,F1RHK6,A0A287BHC9 Q9HCE1,Q15717,O60716,Q9UBU9,O14980,P0CG48,P04629,Q13618
10632 A0A286ZV23,D3K5N7,A0A287BL20,I3LNX4,A0A287A2J9,A0A287BHC9,F1RHK6,A0A286ZQA1 Q9HCE1,Q15717,O60716,Q9UBU9,O14980,P0CG48,P04629,Q13618
10419 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,F1SA70,P79307,F2Z558 P00533,Q14258,Q9HCE1,P04637,P05412,O15357,P62993,P0CG48
10419 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,F1SA70,P79307,F2Z558 P00533,Q14258,Q9HCE1,P04637,P05412,O95373,P62993,P0CG48
10419 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,A0A287BI52,P79307,F2Z558 P00533,Q14258,Q9HCE1,P04637,P05412,O15357,P62993,P0CG48
10419 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,A0A287BI52,P79307,F2Z558 P00533,Q14258,Q9HCE1,P04637,P05412,O95373,P62993,P0CG48
7265 P79307,A0A287B6Q4,I3LNX4,A0A287B4M4,A0A287BHC9,D3K5N7,F2Z558,F1RGP5 P05067,Q9HAP2,P0CG48,P04637,Q15717,O14980,P62993,P31946
7924 F1RZQ1,A0A286ZV23,K7GR70,A0A287B4M4,F1RHK6,A0A287BHC9,A0A287A2J9,F2Z5R6 Q8TBZ0,P00533,P05412,Q9UBU9,P04629,O14980,Q13618,Q86VP6
11089 I3LVL1,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P82979,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
11089 I3LVL1,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P12757,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
11089 A0A286ZI45,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P82979,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
11089 A0A286ZI45,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P12757,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
11089 A0A287BNM0,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P82979,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
11089 A0A287B0Y3,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P82979,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
11089 A0A287B0Y3,F1RHK6,Q9TUB2,D3K5N7,F2Z558,A0A287BHC9,A0A286ZS33,A0A287A2J9 P12757,Q15717,P38398,P0CG48,O14980,P04637,P03372,P02751
9491 D3K5N7,Q56VC3,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,Q9TUB2 Q15717,Q14790,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,Q56VC3,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,Q9TUB2 Q15717,P61081,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A287B559,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,A0A286ZQA1 Q15717,Q9H8Y8,P38398,P07900,P05067,P04637,Q13618,O14980
9491 D3K5N7,A0A287B559,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,A0A286ZQA1 Q15717,Q96A35,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A287B559,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,A0A286ZQA1 Q15717,O43819,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A0R4J8D6,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,A0A286ZQA1 Q15717,Q96A35,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A0R4J8D6,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,A0A286ZQA1 Q15717,O43819,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A0R4J8D6,A0A286ZS33,F2Z558,P79307,A0A287BHC9,A0A287A2J9,A0A286ZQA1 Q15717,Q9BRJ7,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A287B0M0,A0A286ZS33,F2Z558,P79307,A0A286ZQA1,A0A287A2J9,A0A287BHC9 Q15717,Q8IU85,P38398,P07900,P05067,P04637,Q13618,O14980
9491 D3K5N7,A0A287B0M0,A0A286ZS33,F2Z558,P79307,A0A286ZQA1,A0A287A2J9,A0A287BHC9 Q15717,Q9BRJ7,P38398,P07900,P05067,O14980,Q13618,P04637
9491 D3K5N7,A0A287B0M0,A0A286ZS33,F2Z558,P79307,A0A286ZQA1,A0A287A2J9,A0A287BHC9 Q15717,Q9NRH1,P38398,P07900,P05067,P04637,Q13618,O14980
12219 A0A286ZS33,A0A287A2J9,F1RHK6,D3K5N7,Q9TUB2,A0A287BHC9,A0A287AA59,F2Z558 P38398,Q13618,P04629,Q15717,P04637,O14980,P10809,P07900
12219 A0A286ZS33,A0A287A2J9,F1RHK6,D3K5N7,Q9TUB2,A0A287BHC9,A0A287AA59,F2Z558 P38398,Q13618,P04629,Q15717,P04637,O14980,P39023,P07900
12219 A0A286ZS33,A0A287A2J9,F1RHK6,D3K5N7,Q9TUB2,A0A287BHC9,A0A287AA59,F2Z558 P38398,Q13618,P04629,Q15717,P04637,O14980,P34932,P07900
12219 A0A286ZS33,A0A287A2J9,F1RHK6,D3K5N7,Q9TUB2,A0A287BHC9,A0A287AA59,F2Z558 P38398,Q13618,P04629,Q15717,P04637,O14980,P18124,P07900
9656 Q9TUB2,A0A286ZV83,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,P49790,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,A0A286ZV83,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,Q13347,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,A0A286ZV83,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,P55795,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,F1SQA9,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,P49790,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,F1SQA9,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,Q13347,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,F1SQA9,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,O43823,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,A0A286ZZW3,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,Q8IXB1,Q14258,P05067,Q13618,P07900,P38398,P03372
9656 Q9TUB2,A0A286ZZW3,K7GR70,P79307,A0A286ZV23,F2Z558,A0A286ZS33,A0A287BHC9 P04637,O43823,Q14258,P05067,Q13618,P07900,P38398,P03372
8641 A0A287B0B0,A0A286ZV23,Q9TUB2,D3K5N7,A0A286ZQA1,F2Z558,A0A287AZS2,F1RHK6 Q5VT25,Q15717,P03372,P00533,P0CG48,Q13618,Q13547,P04629
8641 A0A287BM02,A0A286ZV23,Q9TUB2,D3K5N7,A0A286ZQA1,F2Z558,A0A287BEY7,F1RHK6 Q5VT25,Q15717,P03372,P00533,P0CG48,Q13618,Q13547,P04629
7181 P79307,F1SUY6,D3K5N7,Q9TUB2,A0A287BHC9,Q08353,F2Z558,K7GR70 Q13618,Q5U5R9,O14980,P38398,P04637,O75925,P0CG48,Q15717
4772 A0A286ZV23,A0A287AIX7,Q9TUB2,A0A287B4M4,D3K5N7,K7GR70,F2Z558,A0A286ZND1 Q13618,O43526,P00533,P38398,O14980,Q14258,P0CG48,P0DP25
4481 Q9TUB2,I3LNZ6,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q9NUQ2,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
4481 Q9TUB2,I3LNZ6,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q8NAN2,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
4481 Q9TUB2,I3LNZ6,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q86UY8,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
4481 Q9TUB2,F1RG41,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q9NRK6,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
4481 Q9TUB2,I3L6C0,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q9NUQ2,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
4481 Q9TUB2,I3L6C0,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q8NAN2,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
4481 Q9TUB2,I3L6C0,A0A286ZQA1,P79307,A0A286ZV23,A0A287AIR5,F2Z558,D3K5N7 P0CG48,Q86UY8,O14980,P05067,P07900,Q8IWL3,P00533,Q15717
